Date,LogReturn
03/01/2006,-0.000172373
04/01/2006,-0.00042548
05/01/2006,-0.001025163
06/01/2006,-0.001201017
09/01/2006,-0.000810251
11/01/2006,0.000208495
12/01/2006,-0.000985439
01/13/2006,0.000058
01/16/2006,-0.000685236
01/17/2006,0.001462077
01/18/2006,0.000694501
01/19/2006,-0.0000578
01/20/2006,-0.000752526
01/23/2006,0.000231686
01/24/2006,-0.000173753
01/25/2006,0.000173753
01/26/2006,-0.000231686
01/27/2006,0.000347482
03/02/2006,0.000173637
06/02/2006,-0.001344602
07/02/2006,-0.000708749
08/02/2006,0.0000233
09/02/2006,-0.000581774
10/02/2006,-0.000524264
02/13/2006,-0.000291532
02/14/2006,0
02/15/2006,-0.000116667
02/16/2006,0.000233304
02/17/2006,-0.000116636
02/20/2006,-0.000408473
02/21/2006,0.000151763
02/22/2006,-0.000151763
02/23/2006,0
02/24/2006,-0.000490675
02/27/2006,-0.000210459
02/28/2006,0
01/03/2006,-0.000233963
02/03/2006,-0.000257505
03/03/2006,-0.000445142
06/03/2006,0.0000938
07/03/2006,0.00035139
08/03/2006,0.000923969
09/03/2006,0.000910349
10/03/2006,-0.000116605
03/13/2006,-0.000641886
03/14/2006,0.0000584
03/15/2006,-0.001345019
03/16/2006,-0.000468811
03/17/2006,0.0000586
03/20/2006,-0.0000821
03/21/2006,-0.000504564
03/22/2006,-0.000822639
03/23/2006,-0.000235326
03/24/2006,0.000764344
03/27/2006,-0.000470207
03/28/2006,0.000235167
03/29/2006,0.000176292
03/30/2006,-0.000176292
03/31/2006,-0.00100034
03/04/2006,-0.000495137
04/04/2006,-0.0000944
05/04/2006,-0.000968538
06/04/2006,-0.000236557
07/04/2006,-0.000118327
10/04/2006,-0.000213069
12/04/2006,-0.0000829
04/13/2006,0.001206243
04/14/2006,-0.000531753
04/17/2006,-0.0002957
04/18/2006,0
04/19/2006,-0.000295901
04/20/2006,-0.000414601
04/21/2006,-0.000296386
04/24/2006,-0.001151897
04/25/2006,-0.001071509
04/26/2006,0.0000238
04/27/2006,-0.001372934
04/28/2006,-0.00077793
02/05/2006,-0.001283636
03/05/2006,-0.000697392
04/05/2006,0.000601266
05/05/2006,-0.000902212
08/05/2006,-0.001230024
09/05/2006,0
10/05/2006,-0.001487912
11/05/2006,-0.000181802
05/15/2006,0.00241779
05/16/2006,0.00168448
05/17/2006,-0.003678184
05/18/2006,0.003498016
05/19/2006,-0.00024034
05/22/2006,0.002516961
05/23/2006,-0.000538122
05/24/2006,0.00155276
05/25/2006,0.000893304
05/26/2006,-0.000535762
05/29/2006,-0.001252687
05/30/2006,-0.001615926
05/31/2006,0.000898479
01/06/2006,0.000956333
02/06/2006,0.000119394
05/06/2006,-0.000418022
06/06/2006,0.001074101
07/06/2006,0.001225998
08/06/2006,0.001566139
09/06/2006,0.000177613
12/06/2006,0.000591521
06/13/2006,0.001475287
06/14/2006,0.000529879
06/15/2006,-0.003426171
06/16/2006,-0.002140265
06/19/2006,0.002436691
06/20/2006,0.000888068
06/21/2006,-0.001421781
06/22/2006,-0.0000593
06/23/2006,0.002072161
06/26/2006,0.002121101
06/27/2006,-0.001530866
06/28/2006,0.000353756
06/29/2006,0.000353468
06/30/2006,-0.001474686
03/07/2006,-0.00147971
04/07/2006,-0.001425281
05/07/2006,-0.000833579
06/07/2006,0.002436691
07/07/2006,-0.000949278
10/07/2006,-0.002203185
11/07/2006,0.001549351
12/07/2006,0.000178416
07/13/2006,0.00112827
07/14/2006,0.001598305
07/17/2006,0.001062278
07/18/2006,0.000412407
07/19/2006,-0.000117791
07/20/2006,-0.000530454
07/21/2006,0.000235837
07/24/2006,0.000412407
07/25/2006,0.000470844
07/26/2006,-0.00041196
07/27/2006,-0.001829108
07/28/2006,0.0000591
07/31/2006,-0.002311817
01/08/2006,0.001364867
02/08/2006,0.000532913
03/08/2006,0.001181915
04/08/2006,0
07/08/2006,-0.002485748
08/08/2006,0.00094863
09/08/2006,0.001300992
10/08/2006,-0.001597216
11/08/2006,0.001360962
08/14/2006,0.001062134
08/15/2006,-0.000353756
08/16/2006,0
08/17/2006,-0.000472123
08/18/2006,-0.000177179
08/21/2006,-0.000768611
08/22/2006,0.000709535
08/23/2006,-0.000177275
08/24/2006,0.000590636
08/25/2006,-0.000472444
08/28/2006,0.000944375
08/29/2006,-0.000412912
08/30/2006,-0.000295177
01/09/2006,0.000236158
04/09/2006,-0.002426728
05/09/2006,-0.0000831
06/09/2006,-0.001224655
07/09/2006,-0.000119083
08/09/2006,0.000951748
11/09/2006,0.001696071
12/09/2006,0.00079239
09/13/2006,-0.000378274
09/14/2006,-0.0000946
09/15/2006,0.000354719
09/18/2006,0.00035443
09/19/2006,0.001061557
09/20/2006,0
09/21/2006,-0.001770706
09/22/2006,0.00053197
09/25/2006,0.000236222
09/26/2006,0.000118063
09/27/2006,0.000530886
09/28/2006,0.000235741
09/29/2006,-0.000117855
02/10/2006,0.000530094
03/10/2006,-0.000294417
04/10/2006,0.00023555
05/10/2006,0.000176578
06/10/2006,-0.000117711
09/10/2006,0.000529448
10/10/2006,-0.000117599
11/10/2006,0.000528947
12/10/2006,-0.000352559
10/13/2006,-0.001531074
10/16/2006,0.000589513
10/17/2006,-0.000884571
10/18/2006,-0.000768088
10/19/2006,0.0000591
10/20/2006,0.000413698
10/26/2006,-0.000650274
10/27/2006,-0.001897262
10/30/2006,-0.001726583
10/31/2006,0.000953446
01/11/2006,-0.000238165
02/11/2006,0.001545745
03/11/2006,-0.001248059
06/11/2006,0.001069984
07/11/2006,-0.000653566
08/11/2006,-0.000892814
09/11/2006,0.000393064
10/11/2006,-0.000869984
11/13/2006,-0.000776112
11/14/2006,0.000537456
11/15/2006,0.000834723
11/16/2006,0.001070864
11/17/2006,0.000356369
11/20/2006,-0.001189034
11/21/2006,0.00011905
11/22/2006,-0.000238133
