Date,Monthly_Volatility_Avg
2006-01-31,0.09725498432845803
2006-02-28,0.08288554615426508
2006-03-31,0.08085214763212553
2006-04-30,0.09571372767199351
2006-05-31,0.1387250996212821
2006-06-30,0.17366483453764917
2006-07-31,0.15219339956187683
2006-08-31,0.1279531757278575
2006-09-30,0.0968319781880314
2006-10-31,0.10524932923595437
2006-11-30,0.12013543590861994
2006-12-31,0.1128309246991654
2007-01-31,0.11475684066996578
2007-02-28,0.08753696086535365
2007-03-31,0.1197648500202123
2007-04-30,0.12179117010226068
2007-05-31,0.09007760053787572
2007-06-30,0.10903968630719847
2007-07-31,0.16139297143718884
2007-08-31,0.17852363329441068
2007-09-30,0.17842131695359947
2007-10-31,0.1695693607678487
2007-11-30,0.16882769025042274
2007-12-31,0.1624325180295416
2008-01-31,0.16570490646609026
2008-02-29,0.16893499985050775
2008-03-31,0.17704738230779213
2008-04-30,0.1834827807954465
2008-05-31,0.18535040581025033
2008-06-30,0.1793650192015161
2008-07-31,0.13819666586699514
2008-08-31,0.19763766112774192
2008-09-30,0.19165245787322033
2008-10-31,0.21361551067475523
2008-11-30,0.1926594497471868
2008-12-31,0.19889893196211658
2009-01-31,0.19271754752197637
2009-02-28,0.18631670378362353
2009-03-31,0.18196352843211008
2009-04-30,0.2108454321430279
2009-05-31,0.23347309080166112
2009-06-30,0.23413825231571972
2009-07-31,0.1863835583578598
2009-08-31,0.2247975187741813
2009-09-30,0.19458782138189948
2009-10-31,0.19170617434988943
2009-11-30,0.2155418263090779
2009-12-31,0.17542122629974694
2010-01-31,0.16945139437700807
2010-02-28,0.2029976196384339
2010-03-31,0.20486296648064073
2010-04-30,0.2088343825044339
2010-05-31,0.2704243547828345
2010-06-30,0.3108495538540475
2010-07-31,0.27616951598341505
2010-08-31,0.20347217264940262
2010-09-30,0.15926802379759383
2010-10-31,0.20355616646793478
2010-11-30,0.2102425483048777
2010-12-31,0.18819548643712045
2011-01-31,0.16931363100458247
2011-02-28,0.16909613410811175
2011-03-31,0.1705318247456599
2011-04-30,0.13682223068906424
2011-05-31,0.19993488632152562
2011-06-30,0.19949718474534342
